Source;Computational?;Answer;Difficulty;Topic;Problem;Solution
IMO Prelim 2022/14;1;\(2358\);;C;A 'palindrome' is a positive integer which reads the same from left to right as shown from right to left, such as \(12321\) and \(259952\). Someone wrote down a five-digit palindrome \(m\) and then removed a digit \(m\) to obtain a four-digit positive integer \(n\) (that does not start with \(0\)). How many possible values of \(n\) are there?;
IMO Prelim 2022/15;1;\(44\);;C;Someone obtained a positive integer \(n\) by concatenating the positive integers from \(1\) to \(100000\) in order, i.e. \(n = 123456789101112\dots9999899999100000\). How many times does '\(2022\)' appear as consecutive digits of \(n\)?;
IMO Prelim 2022/16;1;\(324\sqrt{2}\);;G;\(ABCD\) is a parallelogram with \(\angle{B}\) acute. A circle is tangent to \(BC, CD\) and \(DA\). The circle intersects \(AC\) at \(M\) and \(N\), where \(M\) is closer to \(A\) than \(N\). If \(AM = 9\), \(MN = 16\) and \(NC = 2\), find the area of \(ABCD\).;
IMO Prelim 2022/17;1;\(14\);;N;There are four positive integers. By computing the H.C.F of two of them at a time, one gets six different values \(1,2,3,4,5,k\). Find the smallest possible value of \(k\).;
IMO Prelim 2022/18;1;\(17\);;C;At a party there are 1234 participants, and each of them has shaken hands with exactly \(137\) other participants. It is known that no three participants have shaken hands with each other. Furthermore, for any two participants \(A\) and \(B\) who have not shaken hands with each other, there must be exactly \(k\) other participants who have shaken hands with both \(A\) and \(B\), where \(k\) is a fixed constant. Find the value of \(k\).;
IMO Prelim 2022/19;1;\(16\);;G;In \(\triangle{ABC}\), \(AB < AC\). The internal bisector of \(\angle{BAC}\) meets \(BC\) at \(D\), while the external bisector of \(\angle{BAC}\) meets \(CB\) produced at \(E\). If \(EB = 2022\) and the lengths of \(BD\) and \(DC\) are integers, how many possible lengths of \(BD\) are there?;
IMO Prelim 2022/20;1;\(15\);;G;Let \(ABCD\) be a cyclic quadrilateral and \(E\) be the intersection of \(AC\) and \(BD\). \(P\) and \(Q\) are two points on \(AC\) such that the points \(A,E,Q,P,C\) lie on the same straight line in this order, and that \(BP\) bisects \(\angle{ABC}\) whereas \(DQ\) bisects \(\angle{ADC}\). If \(AE = 4, EQ = 2\) and \(QP = 3\), find the length of \(PC\).;
IMO Prelim 2021/1;1;;;C;\(100\) students, numbered \(1\) to \(100\), are divided into \(20\) groups, each with \(5\) students. The student with the largest number in each group becomes the group leader. What is the maximum number of group leaders whose number is prime?;
IMO Prelim 2021/2;1;;;N;Let \(n\) be a three-digit bumber which is divisible by the product of its digits. Find the greatest possible value of \(n\).;
IMO Prelim 2021/3;1;;;A;Let \(a\) and \(b\) be non-zero real numbers such that \(frac{a}{b} + \frac{b}{a} = 5\) and \(\frac{a^2}{b} + \frac{b^2}{a} = 12\). Find the value of \(\frac{1}{a} + \frac{1}{b}\).;
IMO Prelim 2021/4;1;;;C;Three students each randomly chooses a prime number less than 100, and then the teacher multiplies the three chosen primes together. What is the proability that the product obtained by the teacher is divisible by \(2021\)?;
IMO Prelim 2021/5;1;;;C;Ann, Ben and Cat join a game as a team. Each of them has to independently answer \(2021\) yes-no questions (the questions are the same for everyone), in each of which either 'yes' or 'no' must be chosen. After that, the answers of Ann and Ben are compared and the number of questions in which they chose the same answer is recorded. The same is done for Ann's and Cat's answers, as well as for Ben's and Cat's answers. The score of the team in the game is the largest number recorded. Find the minimum possible score of the team in the game.;
IMO Prelim 2021/6;1;;;G;Let \(G\) be the centroid of \(\triangle{ABC}\). If the distance from \(G\) to the sides \(AB, BC\) and \(CA\) are \(20, 12\) and \(15\) respectively, find the length of \(BG\).;
IMO Prelim 2021/7;1;;;A;Find the sum of all real roots of the equation \((2\sqrt[5]{x+1}-1)^4 + (2\sqrt[5]{x+1}-3)^4 = 16\).;
IMO Prelim 2021/8;1;;;N;Let \(n\) be a positive integer not exceeding \(2021\). If each of \(n, n+1\) and \(n+2\) can be expressed as the sum of two (possibly the same) non-negative integral powers of \(2\), find the sum of all possible values of \(n\).;
IMO Prelim 2021/9;1;;;C;In a bag there are \(2021\) balls, numbered \(1\) to \(2021\). Two balls are drawn from the bag at random. What is the probability that the ratio of the numbers of the two balls drawn is an integral power of \(2\)?;
IMO Prelim 2021/10;1;;;C;A teacher wants to set some questions for a test on addition. Each question must involve adding a pair of two-digit positive integers (possibly the same), and no carry may be involved in the process. The answer must also be a two-digit number. How many different questions can the teacher set? (The result of swapping the order of two different numbers is regarded to be a different question, e.g. \(12 + 34\) and \(34 + 12\) are regarded as two questions.);
IMO Prelim 2021/11;1;;;A;Suppose \((21x + 20y)^{2021} + x^{2021} + 484x + 440y = 0\) for some non-zero real numbers \(x\) and \(y\). Find \(\frac{x}{y}\).;
IMO Prelim 2021/12;1;;;G;;
IMO Prelim 2021/13;1;;;N;;
IMO Prelim 2021/14;1;;;C;;
IMO Prelim 2021/15;1;;;A;;
IMO Prelim 2021/16;1;;;A;;
IMO Prelim 2021/17;1;;;G;;
IMO Prelim 2021/18;1;;;C;;
IMO Prelim 2021/19;1;;;N;;
IMO Prelim 2021/20;1;;;G;;
IMO Prelim 2020/1;1;;;A;;
IMO Prelim 2020/2;1;;;N;;
IMO Prelim 2020/3;1;;;A;;
IMO Prelim 2020/4;1;;;A;;
IMO Prelim 2020/5;1;;;C;;
IMO Prelim 2020/6;1;;;G;;
IMO Prelim 2020/7;1;;;A;;
IMO Prelim 2020/8;1;;;N;;
IMO Prelim 2020/9;1;;;G;;
IMO Prelim 2020/10;1;;;A;;
IMO Prelim 2020/11;1;;;A;;
IMO Prelim 2020/12;1;;;C;;
IMO Prelim 2020/13;1;;;A;;
IMO Prelim 2020/14;1;;;G;;
IMO Prelim 2020/15;1;;;C;;
IMO Prelim 2020/16;1;;;G;;
IMO Prelim 2020/17;1;;;A;;
IMO Prelim 2020/18;1;;;C;;
IMO Prelim 2020/19;1;;;C;;
IMO Prelim 2020/20;1;;;N;;
IMO Prelim 2019/1;1;;;N;;
IMO Prelim 2019/2;1;;;C;;
IMO Prelim 2019/3;1;;;G;;
IMO Prelim 2019/4;1;;;A;;
IMO Prelim 2019/5;1;;;N;;
IMO Prelim 2019/6;1;;;G;;
IMO Prelim 2019/7;1;;;A;;
IMO Prelim 2019/8;1;;;C;;
IMO Prelim 2019/9;1;;;A;;
IMO Prelim 2019/10;1;;;G;;
IMO Prelim 2019/11;1;;;G;;
IMO Prelim 2019/12;1;;;C;;
IMO Prelim 2019/13;1;;;G;;
IMO Prelim 2019/14;1;;;A;;
IMO Prelim 2019/15;1;;;N;;
IMO Prelim 2019/16;1;;;A;;
IMO Prelim 2019/17;1;;;C;;
IMO Prelim 2019/18;1;;;A;;
IMO Prelim 2019/19;1;;;A;;
IMO Prelim 2019/20;1;;;C;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
IMO 2023/1;0;N/A;;N;Determine all composite integers \(n > 1\) that satisfy the following property: if \(d_1, d_2, \dots, d_k\) are all the positive divisors of \(n\) with \(1=d_1 < d_2 < \dots < d_k =n \), then \(d_i\) divides \(d_{i+1}+d_{i+2}\) for every \(1\leqslant i\leqslant k-2\).;
IMO 2023/2;0;N/A;;G;Let \(ABC\) be an acute-angled triangle with \(AB < AC\). Let \(\Omega\) be the circumcircle of \(ABC\). Let \(S\) be the midpoint of the arc \(CB\) of \(\Omega\) containing \(A\). The perpendicular from \(A\) to \(BC\) meets \(BS\) at \(D\) and meets \(\Omega\) again at \(E\neq A\). The line through \(D\) parallel to \(BC\) meets line \(BE\) at \(L\). Denote the circumcircle of triangle \(BDL\) by \(\omega\). Let \(\omega\) meet \(\Omega\) again at \(P\neq B\). <br> Prove that the line tangent to \(\omega\) at \(P\) meets line \(BS\) on the internal angle bisector of \(\angle BAC\).;
IMO 2023/3;0;N/A;;A;For each integer \(k\geqslant 2\), determine all infinite sequences of positive integers \(a_1, a_2, \dots\) for which there exists a polynomial \(P\) of the form \(P(x) = x^k+c_{k-1}x^{k-1}+\dots+c_1x+c_0\), where \(c_0, c_1, \dots, c_{k-1}\) are non-negative integers, such that $$P(a_n)=a_{n+1}a_{n+2}\dots a_{n+k}$$ for every integer \(n\geqslant 1\).;
IMO 2023/4;0;N/A;;A;Let \(x_1, x_2, \dots, x_{2023}\) be pairwise different positive real numbers such that $$a_n=\sqrt{(x_1+x_2+\dots+x_n)\left(\frac{1}{x_1}+\frac{1}{x_2}+\dots+\frac{1}{x_n}\right)}$$ is an integer for every \(n = 1, 2, \dots, 2023\). Prove that \(a_{2023}\geqslant 3034\).;
IMO 2023/5;0;N/A;;C;Let \(n\) be a positive integer. A <i>Japanese triangle</i> consists of \(1+2+\dots+n\) circles arranged in an equilateral triangular shape such that for each \(i = 1, 2, \dots, n\), the \(i\)<sup>th</sup> row contains exactly \(i\) circles, exactly one of which is coloured red. A <i>ninja path</i> in a Japanese triangle is a sequence of \(n\) circles obtained by starting in the top row, then repeatedly going from a circle to one of the two circles immediately below it and finishing in the bottom row. <br> In terms of \(n\), find the greatest \(k\) such that in each Japanese triangle there is a ninja path containing at least \(k\) red circles.;
IMO 2023/6;0;N/A;;G;Let \(ABC\) be an equilateral triangle. Let \(A_1, B_1, C_1\) be interior points of \(ABC\) such that \(BA_1=A_1C\), \(CB_1=B_1A\), \(AC_1=C_1B\), and $$\angle BA_1C + \angle CB_1A + \angle AC_1B = 480^{\circ}.$$ Let \(BC_1\) and \(CB_1\) meet at \(A_2\), let \(CA_1\) and \(AC_1\) meet at \(B_2\), and let \(AB_1\) and \(BA_1\) meet at \(C_2\). Prove that if triangle \(A_1B_1C_1\) is scalene, then the three circumcircles of triangles \(AA_1A_2\), \(BB_1B_2\) and \(CC_1C_2\) all pass through two common points. <br> <br> (Note: a scalene triangle is one where no two sides have equal length.);
IMO 2022/1;0;N/A;;C;The Bank of Oslo issues two types of coin: aluminium (denoted \(A\)) and bronze (denoted \(B\)). Marianne has \(n\) aluminium coins and \(n\) bronze coins, arragned in a row in some arbitrary initial order. A <i>chain</i> is any subsequence of consecutive coins of the same type. Given a fixed positive integer \(k\leqslant 2n\), Marianne repeatedly performs the following operation: she identifies the longest chain containing the \(k\)<sup>th</sup> coin from the left, and moves all coins in that chain to the left end of the row. For example, if \(n=4\) and \(k=4\), the process starting from the ordering \(AABBBABA\) would be $$AAB\underline{B}BABA\rightarrow BBB\underline{A}AABA\rightarrow AAA\underline{B}BBBA\rightarrow BBB\underline{B}AAAA\rightarrow BBB\underline{B}AAAA\rightarrow\dots .$$ Find all pairs \((n,k)\) with \(1\leqslant k\leqslant 2n\) such that for every initial ordering, at some moment during the process, the leftmost \(n\) coins will all be of the same type.;
IMO 2022/2;0;N/A;;A;Let \(\mathbb{R}^+\) denote the set of positive real numbers. Find all functions \(f:\mathbb{R}^+\rightarrow\mathbb{R}^+\) such that for each \(x\in\mathbb{R}^+\), there is exactly one \(y\in\mathbb{R}^+\) satisfying $$xf(y)+yf(x)\leqslant 2.$$;
IMO 2022/3;0;N/A;;N;Let \(k\) be a positive integer and let \(S\) be a finite set of odd prime numbers. Prove that there is at most one way (up to rotation and reflection) to place the elements of \(S\) around a circle such that the product of any two neighbours is of the form \(x^2+x+k\) for some positive integer \(x\).;
IMO 2022/4;0;N/A;;G;Let \(ABCDE\) be a convex pentagon such that \(BC=DE\). Assume that there is a point \(T\) inside \(ABCDE\) with \(TB=TD\), \(TC=TE\) and \(\angle ABT = \angle TEA\). Let line \(AB\) intersect lines \(CD\) and \(CT\) at points \(P\) and \(Q\), respectively. Assume that the points \(P, B, A, Q\) occur on their line in that order. Let \(AE\) intersect lines \(CD\) and \(DT\) at points \(R\) and \(S\), respectively. Assume that points \(R, E, A, S\) occur on their line in that order. Prove that the points \(P, S, Q, R\) lie on a circle.;
IMO 2022/5;0;N/A;;N;Find all triples \((a, b, p)\) of positive integers with \(p\) prime and $$a^p=b!+p.$$;
IMO 2022/6;0;N/A;;C;Let \(n\) be a positive integer. A <i>Nordic square</i> is an \(n\times n\) board containing all the integers from \(1\) to \(n^2\) so that each cell contains exactly one number. Two different cells are considered adjacent if they share a common side. Every cell that is adjacent only to cells containing larger numbers is called a <i>valley</i>. An <i>uphill path</i> is a sequence of one or more cells such that: <ul><li>the first cell in the sequence is a valley;</li><li>each subsequent cell in the sequence is adjacent to the previous cell, and</li><li>the numbers written in the cells in the sequence are in increasing order.</li></ul> Find, as a function of \(n\), the smallest possible total number of uphill paths in a Nordic square.;
IMO 2021/1;0;N/A;;N;Let \(n\geqslant 100\) be an integer. Ivan writes the numbers \(n, n+1, \dots, 2n\) each on different cards. He then shuffles these \(n+1\) cards, and divides them into two piles. Prove that at least one of the piles contains two cards such that the sum of their numbers is a perfect square.;
IMO 2021/2;0;N/A;;A;Show that the inequality $$\sum_{i=1}^{n}\sum_{j=1}^{n} \sqrt{|x_i-x_j|}\leqslant \sum_{i=1}^{n}\sum_{j=1}^{n}\sqrt{|x_i+x_j|}$$ holds for all real numbers \(x_1, x_2, \dots, x_n\).;
